[2025-08-22 12:40:19] [INFO] Baza danych zainicjalizowana
[2025-08-22 12:40:19] [INFO] Przywrócono 201 zadań do kolejki
[2025-08-22 12:40:19] [INFO] 🚀 Worker pobierania uruchomiony
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 160, 'item_id': '400765876', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E28.mp4', 'title': 'Wednesday - S01E28.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 161, 'item_id': '400765877', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E29.mp4', 'title': 'Wednesday - S01E29.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 162, 'item_id': '400765878', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E30.mp4', 'title': 'Wednesday - S01E30.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 163, 'item_id': '400765879', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E31.mp4', 'title': 'Wednesday - S01E31.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 164, 'item_id': '400765880', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E32.mp4', 'title': 'Wednesday - S01E32.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 165, 'item_id': '400765881', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E33.mp4', 'title': 'Wednesday - S01E33.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 166, 'item_id': '400765882', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E34.mp4', 'title': 'Wednesday - S01E34.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 167, 'item_id': '400765883', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E35.mp4', 'title': 'Wednesday - S01E35.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 168, 'item_id': '400765884', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E36.mp4', 'title': 'Wednesday - S01E36.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 169, 'item_id': '400765885', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E37.mp4', 'title': 'Wednesday - S01E37.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 170, 'item_id': '400765886', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E38.mp4', 'title': 'Wednesday - S01E38.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 171, 'item_id': '400765887', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E39.mp4', 'title': 'Wednesday - S01E39.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 172, 'item_id': '400765888', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E40.mp4', 'title': 'Wednesday - S01E40.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 173, 'item_id': '400765889', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E41.mp4', 'title': 'Wednesday - S01E41.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 174, 'item_id': '400765890', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E42.mp4', 'title': 'Wednesday - S01E42.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 175, 'item_id': '400765891', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E43.mp4', 'title': 'Wednesday - S01E43.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 176, 'item_id': '400765892', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E44.mp4', 'title': 'Wednesday - S01E44.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 177, 'item_id': '400765893', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E45.mp4', 'title': 'Wednesday - S01E45.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 178, 'item_id': '400765894', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E46.mp4', 'title': 'Wednesday - S01E46.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 179, 'item_id': '400765895', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E47.mp4', 'title': 'Wednesday - S01E47.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 180, 'item_id': '400765896', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E48.mp4', 'title': 'Wednesday - S01E48.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 181, 'item_id': '400765897', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E49.mp4', 'title': 'Wednesday - S01E49.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 182, 'item_id': '400765898', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E50.mp4', 'title': 'Wednesday - S01E50.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 183, 'item_id': '400765899', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E51.mp4', 'title': 'Wednesday - S01E51.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 184, 'item_id': '400765900', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E52.mp4', 'title': 'Wednesday - S01E52.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 185, 'item_id': '400765901', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E53.mp4', 'title': 'Wednesday - S01E53.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 186, 'item_id': '400765902', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E54.mp4', 'title': 'Wednesday - S01E54.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 187, 'item_id': '400765903', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E55.mp4', 'title': 'Wednesday - S01E55.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 188, 'item_id': '400765904', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E56.mp4', 'title': 'Wednesday - S01E56.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 189, 'item_id': '400765905', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E57.mp4', 'title': 'Wednesday - S01E57.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 190, 'item_id': '400765906', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E58.mp4', 'title': 'Wednesday - S01E58.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 191, 'item_id': '400765907', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E59.mp4', 'title': 'Wednesday - S01E59.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 192, 'item_id': '400765908', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E60.mp4', 'title': 'Wednesday - S01E60.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 193, 'item_id': '400765909', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E01.mp4', 'title': 'Wednesday - S02E01.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 194, 'item_id': '400765910', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E02.mp4', 'title': 'Wednesday - S02E02.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 195, 'item_id': '400765911', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E03.mp4', 'title': 'Wednesday - S02E03.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 196, 'item_id': '400765912', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E04.mp4', 'title': 'Wednesday - S02E04.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 197, 'item_id': '400765913', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E05.mp4', 'title': 'Wednesday - S02E05.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 198, 'item_id': '400765914', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 02/Wednesday - S02E06.mp4', 'title': 'Wednesday - S02E06.mp4', 'item_type': 'series'}
